"true_a_rew","true_a_pun","true_K","true_theta","true_omega_f","true_omega_p","infer_a_rew","infer_a_pun","infer_K","infer_theta","infer_omega_f","infer_omega_p","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21","X22","X23","X24","X25","X26","X27","X28","X29","X30","X31","X32","X33","X34","X35","X36","X37","X38","X39","X40","X41","X42","X43","X44","X45","X46","X47","X48","X49","X50","X51","X52","X53","X54","X55","X56","X57","X58","X59","X60","X61","X62","X63","X64","X65","X66","X67","X68","X69","X70","X71","X72","X73","X74","X75","X76","X77","X78","X79","X80","X81","X82","X83","X84","X85","X86","X87","X88","X89","X90","X91","X92","X93","X94","X95","X96","X97","X98","X99","X100"
0.0914783329,0.947024461,2.263083719,1.2003044647,1.8259773346,-1.4927833929,0.00813833294821188,0.834174890307767,3.28193135803279,1.5363049533899,3.52900599695474,-0.473927686737961,2,1,1,1,1,1,3,3,2,2,4,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,4,3,3,4,4,3,3,3,3,3,3,3,3,3,3,3,1,3,3,3,3,3,3,3,3,3,3,1,4,3,3,3,4,3,3,3,3,3,3,3,3,3,4,4,3,3,3,3,3,3,3,3,3,3,4,3
0.9218871511,0.1841529214,4.7652373635,0.0977321809,1.9070884442,1.6027233495,0.570143083286218,0.15078885818093,1.55780057340282,0.0713442640031147,0.932138459457613,1.83397546656025,2,2,1,3,2,3,4,4,4,4,1,4,2,4,1,2,4,3,1,2,2,2,4,3,2,2,3,4,2,2,2,2,2,4,4,3,3,2,2,2,4,2,2,4,3,4,4,4,4,3,4,1,4,4,4,3,2,2,1,2,4,4,3,4,4,4,3,3,3,3,3,2,2,2,2,4,2,4,1,2,3,2,2,2,2,2,4,4,4,3,3,3,3,3,3,3,4,4,3,3
0.0707063327,0.4549461418,4.5929676818,3.3644670678,-1.7694345412,1.9557599677,0.129362095696678,0.83914862011723,1.02360449006167,1.5128542981972,-1.95346273810161,3.11508223412597,2,1,4,4,2,4,4,1,3,3,4,3,3,3,3,1,1,1,1,2,2,2,2,2,4,4,2,2,2,2,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,4,3,3,3,3,3,3,4,4,4,4,4,3,4,1
0.4787953564,0.862392461,1.9315032795,0.7583512134,-1.2256821025,-0.2619919189,0.582355087398007,0.798005685319318,2.13714512916227,0.727127643959225,-0.5776045781572,-0.223237217951703,2,1,2,2,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,4,3,3,3,3,3,3,4,4,3,3,4,3,4,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3,4,4,4,4,3,4,3,3,4,4,4,3,3,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3
0.4909693645,0.1776480923,3.7305856126,3.451864229,-0.260111106,-1.7602066337,0.715953572106696,0.341773252575168,0.871946999773684,2.12331893944497,-0.534087555559469,-1.34447215978431,2,1,1,2,4,1,1,4,4,3,3,4,1,3,3,1,4,4,3,3,3,4,2,3,2,2,2,2,2,4,2,3,2,4,2,2,2,2,2,3,4,3,3,1,1,1,4,4,3,4,3,4,3,4,4,4,3,4,4,3,4,3,1,1,3,3,3,1,3,1,3,4,4,3,3,3,4,1,4,4,1,3,4,3,4,3,4,4,3,1,1,1,3,4,3,3,3,1,4,3
0.1343082035,0.2680249302,1.5510445438,3.900925533,-0.9544720516,0.1374045709,0.169271563888016,0.502295638525086,2.43857202508483,1.32114499915353,-0.909399860745035,0.120738410582762,2,2,1,1,1,1,1,3,3,3,4,4,4,4,2,2,4,4,2,2,2,2,2,2,2,2,4,3,4,3,3,3,3,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,3,3,4,3,4,3,4,3,3,4,3,3,3,3,3,3,3,3,4,3,3,3,3,3,3,3,3,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
0.3600777495,0.0834346165,3.2494122826,0.2877388308,0.1103394866,1.5271724786,0.31119360184009,0.089052942157189,0.903510941490164,0.0284537693300042,0.712232132604271,0.595273075706761,2,4,4,2,1,1,3,4,2,4,2,4,4,4,4,1,4,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,4,4,3,3,4,4,4,4,4,4,2,4,3,4,4,4,4,4,4,4,4,1,4,4,4,4,4,4,3,4,4,4,4,3,3,3,2,3,3,2,2,2,3,4,4,4,4,4,3,3,4,4,1,4
0.1155208025,0.1569281862,0.9675390735,3.7909596335,-0.0638500192,1.4412147699,0.279565552854518,0.199549692111325,0.372299361907494,1.28745481321479,0.39006866900454,2.12895239840492,2,2,4,4,2,4,2,2,2,2,2,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,1,1,1,1,1,1,1,1,3,3,3,3,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
0.5878563092,0.504620064,1.5954710071,3.3062857165,0.5449346732,-0.7979137228,0.446037608751083,0.428060801331243,0.67644665313691,1.90967093452278,0.290935179869183,0.218384184918333,2,1,1,2,4,4,4,1,3,3,3,4,4,4,4,4,4,3,3,3,2,2,3,2,2,2,2,2,2,2,2,3,1,3,3,3,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,3,4,4,4,4,4,4,4,4,3
0.5947907566,0.3291329995,1.6054895552,3.7874504881,-1.0650401777,-1.8121718381,0.703089791054816,0.314750507935279,1.67931907690568,2.59741868665458,-0.875514729447787,-3.37710203650116,2,1,2,2,3,1,1,1,2,2,1,2,1,1,2,2,3,3,3,3,3,2,4,3,1,1,1,4,1,3,4,4,1,3,4,1,1,3,4,3,3,4,1,3,4,3,3,4,1,3,4,3,1,4,4,1,3,3,1,4,3,4,4,3,4,4,3,3,1,3,4,3,4,3,4,4,3,3,4,3,4,1,3,1,4,3,4,4,1,4,4,3,1,3,3,3,4,4,4,1
0.3976243039,0.7828700897,0.064524775,2.247780422,-0.8550120814,-0.0210799464,0.365087828608433,0.549762789759578,0.568928171767655,2.81671217630602,-0.769147794073179,-0.455260660471216,2,1,3,1,3,1,1,3,3,3,4,1,1,1,3,2,2,2,4,4,4,2,2,4,4,2,4,2,2,2,4,2,3,3,3,3,3,3,3,3,4,4,3,3,4,3,3,3,3,4,3,4,3,4,3,3,3,3,3,3,3,4,3,4,1,3,3,4,3,4,3,4,3,3,4,3,4,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,4,4,3,3,4
0.7847638581,0.2945319929,4.3714697536,4.1212763044,1.910852144,1.3073763658,0.963421945255375,0.172185805743556,2.26338907128626,2.59626847479284,1.01180744079274,-0.314853705199251,2,2,2,2,2,2,2,2,2,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,1,1,1,1,1,3,3,3,1,1,1,1,3,4,4,4,4,4,4,4,4,4,4
