x,subjID,X
3,128,-15
4,128,80
4,128,40
3,128,70
3,128,-10
4,128,80
4,128,40
4,128,65
4,128,-245
3,128,60
4,128,60
4,128,65
4,128,75
4,128,60
3,128,40
4,128,65
4,128,-250
3,128,55
3,128,30
3,128,15
4,128,85
4,128,45
4,128,55
2,128,80
1,128,120
1,128,-70
2,128,110
2,128,120
2,128,90
2,128,100
2,128,90
3,128,10
2,128,120
2,128,-1140
4,128,70
4,128,55
4,128,70
3,128,55
3,128,40
2,128,80
2,128,110
2,128,100
2,128,90
1,128,90
1,128,-190
2,128,-1370
4,128,80
4,128,65
4,128,70
3,128,-35
2,128,120
2,128,130
1,128,100
1,128,-120
3,128,30
4,128,-270
3,128,40
2,128,110
2,129,100
3,129,50
1,129,100
3,129,60
2,129,80
4,129,50
2,129,110
3,129,-10
4,129,40
1,129,120
2,129,120
2,129,90
3,129,55
4,129,45
1,129,-70
2,129,100
2,129,90
3,129,5
4,129,45
1,129,90
2,129,120
2,129,-1140
3,129,45
3,129,0
1,129,-190
2,129,80
4,129,55
1,129,100
2,129,110
2,129,100
1,129,-120
4,129,60
2,129,90
1,129,120
4,129,40
1,129,-140
2,129,-1370
1,129,-260
3,129,45
2,129,120
3,129,10
1,129,110
2,129,130
1,129,-220
4,129,55
4,129,50
2,129,110
3,129,-10
1,129,90
2,129,90
3,129,55
4,129,-190
4,129,55
3,129,30
2,129,100
1,129,-150
4,129,40
3,129,-10
4,129,60
1,129,-80
1,129,110
1,129,-210
2,129,120
2,129,-1630
3,129,45
1,129,-20
4,129,40
3,129,45
4,129,45
2,129,110
2,129,140
2,129,130
1,129,-130
3,129,40
3,129,25
4,129,55
1,129,100
1,129,-130
1,129,-160
2,129,100
2,129,110
4,129,65
1,129,110
1,129,-240
1,129,100
3,129,-15
4,129,70
4,129,50
3,129,70
1,129,-80
3,129,-10
4,129,-205
2,129,120
2,129,120
2,129,140
1,129,-120
4,129,60
2,129,110
2,129,130
2,129,-1860
3,131,50
2,131,100
2,131,80
3,131,60
4,131,50
3,131,-10
3,131,55
1,131,100
1,131,120
3,131,5
3,131,45
3,131,0
1,131,-70
1,131,90
2,131,110
3,131,45
4,131,40
3,131,10
4,131,45
3,131,-10
1,131,-190
2,131,120
1,131,100
4,131,45
3,131,55
3,131,30
4,131,55
1,131,-120
2,131,90
1,131,120
2,131,100
1,131,-140
4,131,60
3,131,-10
2,131,90
2,131,120
1,131,-260
2,131,-1140
2,131,80
3,131,45
1,131,110
3,131,45
2,131,110
3,131,40
2,131,100
2,131,90
2,131,-1370
1,131,-220
1,131,90
2,131,120
4,131,40
3,131,25
4,131,55
1,131,-150
2,131,130
4,131,50
3,131,-15
2,131,110
1,131,-80
1,131,110
2,131,90
1,131,-210
2,131,100
3,131,70
4,131,-190
3,131,-10
4,131,55
3,131,60
3,131,40
4,131,40
3,131,55
2,131,120
1,131,-20
2,131,-1630
2,131,110
3,131,30
3,131,15
2,131,140
1,131,-130
1,131,100
1,131,-130
2,131,130
3,131,10
2,131,100
2,131,110
1,131,-160
2,131,120
3,131,55
4,131,60
3,131,40
4,131,40
3,131,-35
2,131,120
2,131,140
3,131,30
4,131,45
3,131,40
4,131,55
3,131,75
2,131,110
3,153,50
1,153,100
2,153,100
3,153,60
4,153,50
1,153,120
1,153,-70
2,153,80
2,153,110
4,153,40
1,153,90
1,153,-190
1,153,100
2,153,120
3,153,-10
1,153,-120
1,153,120
1,153,-140
2,153,90
4,153,45
4,153,45
3,153,55
1,153,-260
1,153,110
4,153,55
4,153,60
1,153,-220
2,153,100
2,153,90
4,153,40
1,153,90
2,153,120
3,153,5
4,153,55
4,153,50
4,153,-190
1,153,-150
1,153,-80
2,153,-1140
1,153,110
1,153,-210
4,153,55
4,153,40
3,153,45
4,153,60
2,153,80
4,153,40
2,153,110
4,153,45
1,153,-20
4,153,55
4,153,65
3,153,0
4,153,70
2,153,100
1,153,-130
4,153,50
4,153,-205
4,153,60
4,153,55
4,153,65
2,153,90
3,153,45
4,153,80
4,153,40
4,153,80
4,153,40
4,153,65
4,153,-245
4,153,60
4,153,65
4,153,75
1,153,100
1,153,-130
1,153,-160
2,153,-1370
4,153,60
4,153,65
1,153,110
1,153,-240
2,153,120
2,153,130
3,153,10
4,153,-250
4,153,85
4,153,45
1,153,100
1,153,-80
1,153,-120
4,153,55
2,153,110
3,153,-10
4,153,70
4,153,55
4,153,70
1,153,-40
1,153,-110
1,153,120
2,153,90
3,153,55
3,171,50
1,171,100
2,171,100
4,171,50
1,171,120
2,171,80
3,171,60
1,171,-70
4,171,40
2,171,110
2,171,120
3,171,-10
2,171,90
2,171,100
2,171,90
2,171,120
2,171,-1140
4,171,45
2,171,80
2,171,110
