"true_a_rew","true_a_pun","true_K","true_omega_f","true_omega_p","infer_a_rew","infer_a_pun","infer_K","infer_omega_f","infer_omega_p","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21","X22","X23","X24","X25","X26","X27","X28","X29","X30","X31","X32","X33","X34","X35","X36","X37","X38","X39","X40","X41","X42","X43","X44","X45","X46","X47","X48","X49","X50","X51","X52","X53","X54","X55","X56","X57","X58","X59","X60","X61","X62","X63","X64","X65","X66","X67","X68","X69","X70","X71","X72","X73","X74","X75","X76","X77","X78","X79","X80","X81","X82","X83","X84","X85","X86","X87","X88","X89","X90","X91","X92","X93","X94","X95","X96","X97","X98","X99","X100"
0.1029891883,0.5891135012,4.8077967178,1.8352957299,0.8487471145,0.184866196464774,0.878322111996976,2.56049869998555,1.19206862069707,0.353912648497494,2,1,1,1,4,4,2,2,4,3,4,4,2,2,2,4,2,2,2,4,2,2,2,2,3,1,1,3,3,3,3,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,1,3,3,1,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
0.5556298782,0.3677974454,3.228298354,-1.5434112942,-1.8077722631,0.680417687822169,0.482142112117679,1.02310125314641,-1.61884038425953,-1.72303576083378,2,1,1,1,2,2,2,3,1,1,1,1,1,1,1,2,2,1,1,1,1,2,3,1,1,2,2,2,4,4,4,1,1,1,1,3,3,3,3,1,1,3,3,4,3,3,4,3,4,3,3,3,1,4,4,3,3,4,4,3,3,4,4,4,4,1,3,4,4,4,3,1,1,3,1,3,3,3,3,4,4,3,3,4,1,3,4,4,4,4,3,3,1,4,4,1,3,3,3,1
0.8699699268,0.582194486,0.1339593695,1.4624133118,-1.9306109525,0.961750002420738,0.463129506681388,0.347596226840306,1.73865986004612,-1.63604696590699,2,4,4,1,4,4,2,2,1,2,3,3,4,4,2,2,1,2,4,4,4,2,2,1,2,1,2,2,2,2,2,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,3,3,1,3,3,4,1,4,4,3,3,3,3,4,4,4,4,4,4,4,4,3,3,3,3,4,3,3,4,4,4,4,3,1,3,3,3,3,3,3,3,3,1,4,4,4,4,4,4,4,4
0.290156451,0.6211606764,0.077085348,0.8752526391,0.9601980057,0.377530635710936,0.553965733346442,0.397729624539699,0.156595376434474,0.910776734887972,2,3,1,1,3,3,1,3,4,4,4,4,4,4,4,4,3,4,4,3,4,3,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,4,1,3,4,3,4,4,3,4,3,4,4,4,4,3,3,4,3,3,4,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,3,4,3,3,3,3,3,4,3,3,4,3,4,4,3,3,3,4,4,4,4,4,4
0.8733680775,0.0303827809,2.1669067558,-1.8578340391,-0.5484587587,0.948461346675618,0.0737830699157169,2.71868001088528,-0.870362545747361,-3.84140662676363,2,1,2,4,4,1,2,1,1,3,2,3,3,2,2,2,2,2,3,1,1,2,2,1,1,1,2,2,1,3,2,1,2,1,4,4,4,2,1,2,2,1,1,2,2,2,2,4,1,2,4,1,3,4,1,4,1,1,1,1,1,1,1,1,1,1,2,1,1,2,2,2,2,2,2,2,1,2,2,4,2,2,2,2,1,1,4,4,1,1,1,1,1,2,1,1,1,2,2,2
0.0727479741,0.8726820688,3.0490280679,-0.3779177536,-0.1481366632,0.047994352499623,0.914509922238647,2.2171661690044,-0.0596862028912635,0.470112660439721,2,2,3,4,2,1,1,4,3,3,2,2,2,4,4,4,4,2,2,2,2,2,2,2,2,2,2,2,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
0.8104019812,0.3966962344,1.1699637143,-0.1413984926,-0.8419906896,0.571478162565272,0.353243843493004,0.174475997309538,0.456028367567018,-2.04113375179833,2,1,1,1,1,1,1,1,2,4,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,4,4,3,4,4,4,4,1,1,1,1,3,4,4,3,4,4,3,3,2,3,2,2,2,2,2,2,2,2,4,4,1,1,1,4,4,4,3,3,4,3,3,3,3,4,4,4,3,4,4,4,3,3,4,4,4,3,4,4,4,4,4,3,3,3,4,3,4,4,3,3
0.0466273897,0.3847825877,2.5952767684,-1.7686052507,-1.5347219703,0.0111532959143927,0.344004012416754,2.15278211641864,-0.782491863636611,-3.15612906112324,2,1,1,1,1,1,2,1,1,1,2,2,1,4,2,1,1,3,4,4,4,4,2,2,3,4,2,2,2,2,4,4,2,2,2,3,3,3,3,3,4,3,4,3,4,3,3,3,3,4,3,3,4,3,3,4,3,3,3,4,3,3,3,3,3,3,4,3,3,4,3,4,4,4,3,3,3,3,3,4,3,4,3,3,4,3,4,4,4,4,4,4,4,3,4,3,3,3,3,3
0.0003270775,0.6949816955,4.6952102099,0.3697244418,1.992668518,0.0114618995939438,0.912584758945499,2.05843323794676,0.190170137005381,0.558649487732181,2,1,4,4,4,1,4,3,2,4,3,4,2,2,3,2,4,3,2,3,3,4,4,4,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
0.216413483,0.3457553713,4.4203186365,-0.2255372812,-0.0741261056,0.00933943356807455,0.272660994078628,1.61304801199713,-0.565170810245752,0.441039302190422,2,1,1,1,1,3,1,2,3,2,2,4,2,3,3,3,2,3,3,2,2,2,4,2,2,2,2,4,2,2,4,2,2,3,2,2,2,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
